product_name,product_category
Classic Wooden Bed,Bedroom Furniture
Memory Foam Mattress,Bedroom Furniture
L-Shaped Sofa,Living Room Furniture
Recliner Chair,Living Room Furniture
Oak Dining Table,Dining Room Furniture
Leather Dining Chair,Dining Room Furniture
Wooden Coffee Table,Living Room Furniture
Modular Bookcase,Home Office Furniture
Ergonomic Office Chair,Home Office Furniture
Metal Bed Frame,Bedroom Furniture
Vanity Dresser,Bedroom Furniture
Upholstered Bench,Entryway Furniture
Glass Console Table,Entryway Furniture
TV Stand,Living Room Furniture
Outdoor Patio Set,Outdoor Furniture
Garden Lounge Chair,Outdoor Furniture
Kids Bunk Bed,Kids Furniture
Nursery Rocking Chair,Kids Furniture
Shoe Storage Cabinet,Entryway Furniture